Short-Chain Fatty Acid Production of Novel Species in RAGMB							
Species	Strain	Acetic	Propionic	Isobutyric	Butyric	Isovaleric	Valeric
Parabacteroides propionicigenes	HA3406	96.35770971	1100.294002	35.17071174	6.809148312	165.2782576	1.74056477
Butyricimonas recta	HA1200	0	5.13805	3.38597	1.45965	9.99643	0
Pyramidobacter arthritidis	HA0566	0	0	1.25813	0	6.07807	0
Varibaculum hominis	HA1244	0	0	0	0	0	0
Senegalimassilia arthritidis 	HA0643	0	0	0	0	0	0
Zhonglingia intestinalis	HA1519	0	0	0	0	0	0
Faecalibacillus hominis	HA0003	288.0189959	2.01037	1.38712	3.26603	1.30686	1.00304
Streptococcus immobilis	HA0527	164.5348974	0	0	1.89559	0	0
Enterococcus immobilis	HA0446	430.6199428	4.89014	1.84421	5.08674	1.61243	1.21548
Vescimonas immobilis	HA0567	0	0	0	0	0	0
Vescimonas butyriciproducens	HA1201	0	0	0	2.88168	0	0
Pseudoflavonifractor intestinalis	HA1510	0	0	0	10.65382	0	0
Guangjia hominis	HA1523	0	0	0	12.63704	0	0
Acutalibacter immobilis	HA1516	0	0	0	0	0	0
Mengyingia hominis	HA0445	126.3331742	0	0	1.73105	0	0
Mengyingia acetigenes	HA1243	158.3164425	0	1.1476	1.58016	0	0
Negativibacillus intestinalis	HA0568	0	0	0	0	0	0
Jirenia arthritidis	HA0569	0	0	0	0	0	0
Qingyuzengella butyriciproducens	HA0434	0	0	0	18.44749	0	0
Markus hominis	HA1496	29.01282079	6.484063689	1.545876151	4.417915377	5.835625233	1.340896799
Peptoniphilus hominis 	HA1503	0	0	2.54116	1.13194	14.67127	0
Zhongjingia baculiformis	HA0628	0	0	0	4.46206	0	0
Paralentihominibacter butyricigenes	HA0442	0	0	0	18.05117	0	0
Waltera fermentans	HA1509	228.3497792	0	0	99.26037	1.17631	1.79791
Eisenbergiella longa	HA0447	66.70356802	1.73007	0	85.60039	0	2.10787
Coprococcus immobilis	HA0444	0	0	0	0	5.62439	0
Jutongia vibrioforma	HA0063	0	0	0	36.00635	0	0
Eubacterium acidiformans	HA0433	96.61137166	0	0	35.89536	0	0
Lachnospira mobilis	HA0633	0	0	0	0	0	0
Lachnospira flagellata	HA1242	0	0	0	0	0	0
Lachnospira hominis	HA1498	9.269643933	0	0	1.823838691	1.393562844	1.013630006
Lachnospira acetigenes	HA2201	2.951897408	0	0	0	0	0
Naizhengia acetigignens	HA0073	192.587578	0	0	1.92265	0	0
Mediterraneibacter tenuis	HA0437	0	0	0	30.88164	0	0
Yonghella fusiformis	HA1168	2.635281691	0	0	0	0	0
Sanxizhangella immobilis	HA0013	131.0630557	9.476028331	1.428630819	3.845935735	0	0
Lactonifactor hominis	HA0443	0	0	0	0	0	0
Coprococcus mobilis	HA0524	9.661214771	0	0	1.651327426	1.777874444	0
Blautia flagellata	HA1512	499.2387141	0	1.34693	2.65446	0	0
Blautia ovalis	HA0435	248.1715862	2.26642	0	2.04917	0	0
Blautia arthritidis	HA0067	169.4719456	0	0	0	0	0
Blautia longa	HA0030	277.19235	60.67210147	1.68648	3.29371	7.150399443	0
Blautia immobilis 	HA0440	751.659409	16.52156	1.78024	5.26753	1.63465	1.1754
