Annotation Results of RA Expanded Metagenomic Datasets																																																																																											
Species	RAF101	RAF102	RAF106	RAF107	RAF111	RAF112	RAF113	RAF116	RAF117	RAF120	RAF122	RAF123	RAF124	RAF125	RAF126	RAF127	RAF128	RAF129	RAF131	RAF132	RAF135	RAF137	RAF138	RAF139	RAF140	RAF142	RAF143	RAF146	RAF147	RAF149	RAF150	RAF151	RAF153	RAF158	RAF159	RAF160	RAF161	RAF166	RAF167	RAF170	RAF174	RAF177	RAF179	RAF180	RAF184	RAF185	RAF186	RAF187	RAF25	RAF44	RAF58	RAF61	RAF63	RAF68	RAF71	RAF74	RAF75	RAF77	RAF78	RAF79	RAF80	RAF81	RAF84	RAF86	RAF87	RAF88	RAF89	RAF90	RAF92	RAF95	RAF96	RA10	RA11	RA12	RA13	RA14	RA15	RA16	RA17	RA18	RA1	RA2	RA3	RA4	RA5	RA6	RA7	RA8	RA9	RA19	RA20
Prevotella_copri	0.87649	0.0019	58.51516	20.81537	0	0	54.22926	6.38422	0	0.35025	0	0	23.7094	0	20.40798	0	0	10.17856	3.64958	69.33147	0	0.20722	0	16.99733	0	5.26301	0	0	17.96945	0	47.6088	0.19269	0	0.01192	0	9.57254	9.60153	19.09404	0	0	0	0	15.63591	0	0	78.67932	54.73634	0	0	0	78.65681	0	0	0	0	0	0	0	53.95871	0	0	16.65745	26.83867	0	22.89983	67.1017	0	36.61938	0	0	0	5.12938	2.17926	17.07745	44.21768	0.00398	8.37868	38.35976	0	0	0	1.77702	0.05346	0	0.00331	0.00144	0.82633	11.55023	0	0.00197	38.01247
Faecalibacterium_prausnitzii	8.63339	0.13555	10.26997	25.04094	7.32837	0	4.65298	6.70727	4.37744	0.60203	48.70452	1.27679	3.91752	6.13138	20.61017	9.47634	4.16023	2.93154	1.39092	16.79941	5.75465	14.84476	22.66102	4.65846	3.6537	3.3796	7.84766	13.54668	2.26584	7.45948	1.51316	12.66322	11.02724	27.21836	36.51505	13.65318	26.85643	1.00849	2.13789	6.48903	2.27524	4.84819	1.97776	1.5685	1.92277	1.2083	0.24464	1.55865	10.19428	2.95099	5.88508	4.69732	0.73745	1.01654	5.50704	8.84796	0.63835	1.36886	8.94331	3.71951	0.64437	16.86735	7.67361	9.47386	0.93406	2.58573	3.54231	2.00799	13.97183	6.14179	5.93208	6.65716	3.36452	7.20425	8.08898	4.01471	6.5424	10.59939	16.0396	6.36703	5.00085	3.40365	0.20831	7.93994	7.21532	3.79064	1.38841	5.43157	0.13784	4.71845	9.21575
Bacteroides_vulgatus	0.41805	1.53775	0.16205	3.55065	1.37667	6.98727	0.16375	1.31424	0.04079	4.51162	0	24.44199	2.96662	0.72272	0	6.91825	3.01746	3.64284	0.68904	0.06983	23.11277	2.10936	42.07333	0.01081	0	5.11113	13.89454	5.20006	18.4034	0	2.33027	0.58394	13.14898	1.86398	4.64375	32.15173	0	7.35127	5.95731	3.44691	1.4924	60.37393	4.05763	0	6.74886	0.55844	0.65647	1.02238	1.79573	6.90572	0.04807	65.75265	27.57076	0.50079	12.40966	3.16143	3.83515	20.53981	8.05587	1.3819	16.09427	0.16276	3.81789	0.64025	0.55792	4.47977	18.90355	2.23994	30.03105	0	3.47239	1.50486	1.97879	0.6373	0.45217	0.11732	0.25449	1.66301	1.23798	0.44803	5.65869	2.55522	0.15889	0.25761	1.79075	0	1.14981	1.70213	0.07269	11.78004	2.59188
Bacteroides_plebeius	0	0	2.9147	0.62762	29.6428	0	0.87175	2.87212	31.07625	0.2337	1.98175	0	1.93685	12.23834	0	6.70445	0	7.87309	1.1826	3.13583	0	0.01929	0	0.81023	8.06265	1.00033	0	31.27961	0	0	8.12394	0	0	9.04905	0.09786	0	0	59.91032	45.77758	0	31.74145	0	0.0347	0	14.17583	0.65808	0	18.23579	17.2182	0	0.00727	0	0	1.45113	20.1029	0.02035	61.08321	0	4.80552	50.9698	0	1.57871	0	0	2.49609	0	9.09923	5.11448	0	0	17.72605	0.52858	1.62895	0.70886	1.57502	0.0793	1.84553	0	1.55568	1.7271	0	0	0.03929	0.42509	8.11226	0	0.1554	0	0.03261	0	6.74745
Bacteroides_stercoris	0.00199	0.06843	0.12332	0.13311	5.08674	59.00188	0.01674	0.02983	0.69567	0.17523	1.54486	18.6129	0.73966	0	0	0.02505	60.61006	2.58992	0.46487	0.03514	14.81244	0	0	0.35792	0.77703	5.43017	0	6.71945	0	0.0409	0	0.00582	7.22344	0.3422	0.92303	0.02508	1.22993	0.46315	8.25021	23.82686	2.40697	0	0.19017	0	24.7809	0.02731	3.51305	1.5643	0.28487	0.36252	0.01427	0	23.83811	0	11.72802	1.58469	0	20.3108	0.23665	0	0.03116	0.01939	0.06903	0.50945	0.05725	0.09553	40.96598	0.89659	8.0521	0	0	0.03146	0.00676	0	0.11145	1.20092	0.21612	0.21773	3.16001	0.04756	0.12713	0	0.01673	0.04012	0.04127	1.74982	0.12294	0.02336	0	7.70928	0.1801
Escherichia_coli	0.63863	2.02403	0.01053	0.0132	0.00461	0.58091	21.70063	0	0.80224	4.20415	0.1527	0.4966	0.48068	0	0.36378	0	15.36796	3.7395	0.2683	0.08819	0.01113	0	0.21686	3.42986	0.23428	0	0.13322	6.26366	0.42059	10.23965	5.41949	0.05708	17.13397	0.22404	0.01817	5.39696	0.32093	0.57943	0.26532	3.93168	6.50217	0.50127	0.29463	0.0614	0.32775	0	2.46464	0.02464	0	8.38553	7.35411	6.61176	0.21168	10.81852	10.63174	2.94606	0.0434	20.444	0.56373	0.88458	0.32078	27.41154	38.03473	1.51888	60.46682	4.08875	7.47976	11.50162	0.04038	4.52714	0.05156	0	0	0	0.77372	0.76648	0	0	0.00919	0	0.00522	0.07757	0.36062	0.05362	2.45474	0.00468	3.34437	0.27106	0.42549	0.04343	0.04332
Bacteroides_uniformis	0.03626	0.05566	0.20974	0.73738	10.18548	2.06916	0.19013	1.05383	14.28703	0.68748	0.42472	8.257	2.1405	0.60152	2.01919	2.93244	9.66917	0.28606	1.78325	0.0062	6.89102	0.51111	0	1.54504	3.90931	0.9465	10.74177	7.93172	2.68284	0	0.32533	0.5006	15.74457	1.84592	0.09023	1.94073	0.03754	0.60469	1.73851	1.57486	1.75091	7.57613	7.59102	28.8063	10.83464	0.10639	0	8.38494	10.5694	1.6667	0.01	0.66102	5.48089	0.06366	0.99008	2.76603	7.19241	0.82643	2.81325	1.94525	0.08587	0.513	0.01875	1.31652	0.82579	0.05551	0.27205	3.56773	1.09626	13.83965	14.42658	0.40537	0.98928	0.00967	0.17282	2.81558	0.94488	3.19979	3.2214	1.02678	6.05072	0.43265	0.04062	0.58341	3.06359	0.25679	0.26552	1.18541	1.02212	4.68567	0.84353
Bifidobacterium_adolescentis	0	24.55662	1.39962	0.00101	0	0	0	0	0	0	0.12698	0	0.18665	0	0	0	0	0	4.93764	0	0	0	0	0.12208	0.53227	0.05392	0.04343	0	0	0	0.48465	0	0	0	0	0	0.00323	0	0	0	0	0	0.25837	0	0	0.45865	0	0	0.01951	10.45611	0.01411	0	0	0	0	24.1758	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00349	0	0.4011	3.70341	0	1.99219	0	4.91636	0	0	7.41712	0.01839	5.84901	31.62228	36.33483	8.48875	12.08822	42.94088	0.00744	21.47584	0	0
Alistipes_putredinis	0.37728	0.01663	0.80399	5.01055	1.09202	16.89757	0.0742	3.95811	0.71982	1.68687	0	0	10.35995	1.90846	0	0.23256	0.53843	15.26218	6.68978	0.00649	15.44887	2.28948	0	1.71136	15.67821	2.83605	5.14398	0	0	0	3.87046	2.1254	2.82183	0.1001	4.37445	1.0829	0	0.06346	0	0	22.76205	0	3.70109	0	6.4503	1.28417	0	10.58663	0.66161	5.56284	0.00519	1.28242	0	0.04224	0.11086	0	0	0	0.4985	7.16335	0	0.02851	0.00614	0.12201	0.05234	0.12538	0.82478	2.32458	0	4.78287	0	2.30688	1.36828	0.00838	1.74865	0.28876	0	0.42316	2.32167	0.09313	6.33948	0	0.12621	0.68979	1.51654	4.00524	0.70003	7.71703	1.37823	0.005	0.99438
Eubacterium_rectale	2.08777	0.01366	1.44404	0.04626	8.69966	0	1.58431	20.39942	0	0	0.55978	0	1.456	6.17055	0	1.3362	0.56031	2.55603	0.6046	1.47459	6.2724	0.59268	4.19399	0.02436	0.09786	13.19391	0.06181	8.15963	0	4.29287	0.06099	0.00675	0.15708	2.47663	6.66041	3.73219	0.62838	0.01473	2.45167	4.71086	0	0	0.44356	0	0.59066	0.53496	0.00356	3.02047	11.91184	3.83388	2.67898	0.03016	0	0.85117	0.05311	13.31195	0.22195	0.05978	2.71704	1.26818	0	13.10491	0.19548	0.02125	1.33313	0.08806	0.27521	0.74608	0	0	10.38606	1.54401	0.79396	2.86315	1.86524	3.22286	9.75958	0.66532	0	0.20356	6.48187	4.15576	0.10803	0.00265	4.3343	0.49464	0.58865	7.19283	0.46776	14.6493	0
