	tax	Index	r	P_value	P_value_sig
35	Anaerostipes_hadrus	Age	-0.37073333	0.00034838	***
275	Anaerostipes_hadrus	CRP	-0.367657074	0.000678791	***
272	Blautia_longum	CRP	-0.354405435	0.00108797	**
32	Blautia_longum	Age	-0.352687922	0.000699344	***
42	Faecalibacterium_prausnitzii	IL.13	-0.351341196	0.00382062	**
93	Eubacterium_rectale	IL.10	-0.347839101	0.003923363	**
153	Eubacterium_rectale	IL.1b	-0.329081307	0.006545204	**
173	Eubacterium_rectale	IFNr	-0.313843098	0.009701984	**
193	Eubacterium_rectale	TNFa	-0.307323865	0.011414084	*
113	Eubacterium_rectale	IL.4	-0.303164354	0.012638387	*
253	Eubacterium_rectale	IL.6	-0.303004373	0.012687659	*
73	Eubacterium_rectale	IL.12p70	-0.300604655	0.013446922	*
133	Eubacterium_rectale	IL.2	-0.29188568	0.016544863	*
233	Eubacterium_rectale	IL.8	-0.286686291	0.018669198	*
259	Vescimonas_butyriciproducens	IL.6	-0.284752491	0.019516684	*
41	Naizhengia_actigignes	IL.13	-0.281452875	0.022059714	*
292	Blautia_longum	ESR	-0.271369941	0.019348863	*
213	Eubacterium_rectale	IL.17	-0.266534862	0.030520764	*
256	Parabacteroides_merdae	IL.6	-0.256380122	0.036241191	*
31	Subdoligranulum_sp	Age	-0.248154307	0.01903769	*
313	Eubacterium_rectale	CCP	-0.241645684	0.024995798	*
116	Parabacteroides_merdae	IL.4	-0.239838177	0.050600753	 
76	Parabacteroides_merdae	IL.12p70	-0.238676636	0.051763116	 
291	Subdoligranulum_sp	ESR	-0.238322893	0.040875269	*
271	Subdoligranulum_sp	CRP	-0.236897005	0.032124006	*
293	Eubacterium_rectale	ESR	-0.233837542	0.044942329	*
59	Vescimonas_butyriciproducens	IL.13	-0.23297048	0.059769284	 
239	Vescimonas_butyriciproducens	IL.8	-0.232445265	0.058376944	 
268	Fusicatenibacter_saccharivorans	CRP	-0.228158543	0.039243672	*
28	Fusicatenibacter_saccharivorans	Age	-0.224505326	0.034419866	*
196	Parabacteroides_merdae	TNFa	-0.215766243	0.079497989	 
136	Parabacteroides_merdae	IL.2	-0.212962523	0.083580619	 
211	Subdoligranulum_sp	IL.17	-0.194758211	0.117105607	 
295	Anaerostipes_hadrus	ESR	-0.193386595	0.098763686	 
50	Roseburia_inulinivorans	IL.13	-0.1932566	0.120012138	 
54	Roseburia_faecis	IL.13	-0.189337454	0.127857807	 
79	Vescimonas_butyriciproducens	IL.12p70	-0.188708377	0.126177018	 
119	Vescimonas_butyriciproducens	IL.4	-0.186495379	0.130764431	 
176	Parabacteroides_merdae	IFNr	-0.182401981	0.139581226	 
199	Vescimonas_butyriciproducens	TNFa	-0.179333312	0.146478544	 
324	Bacteroides_uniformis	RF	-0.178610145	0.11063093	 
236	Parabacteroides_merdae	IL.8	-0.175352629	0.155801193	 
333	Eubacterium_rectale	RF	-0.174470806	0.119279346	 
156	Parabacteroides_merdae	IL.1b	-0.170946784	0.1666244	 
139	Vescimonas_butyriciproducens	IL.2	-0.169354703	0.170668167	 
323	Mediterraneibacter_tenus	RF	-0.16899659	0.131503376	 
288	Fusicatenibacter_saccharivorans	ESR	-0.168334769	0.151666309	 
159	Vescimonas_butyriciproducens	IL.1b	-0.167020996	0.176724685	 
219	Vescimonas_butyriciproducens	IL.17	-0.164163793	0.187789308	 
290	Roseburia_inulinivorans	ESR	-0.163189682	0.164758636	 
91	Subdoligranulum_sp	IL.10	-0.163108746	0.187226279	 
231	Subdoligranulum_sp	IL.8	-0.156585197	0.205725421	 
339	Vescimonas_butyriciproducens	RF	-0.154580617	0.168234217	 
278	Bacteroides_stercoris	CRP	-0.149145342	0.181115585	 
304	Bacteroides_uniformis	CCP	-0.146203005	0.179200392	 
96	Parabacteroides_merdae	IL.10	-0.145152564	0.241203151	 
171	Subdoligranulum_sp	IFNr	-0.143958327	0.245137943	 
191	Subdoligranulum_sp	TNFa	-0.14201727	0.251626777	 
210	Roseburia_inulinivorans	IL.17	-0.140185268	0.261579828	 
5	Parabacteroides_distasonis	Gender	-0.138985654	0.19395528	 
131	Subdoligranulum_sp	IL.2	-0.138415311	0.263975639	 
71	Subdoligranulum_sp	IL.12p70	-0.137334723	0.267758565	 
99	Vescimonas_butyriciproducens	IL.10	-0.136803514	0.269631498	 
321	Naizhengia_actigignes	RF	-0.136374672	0.224756786	 
298	Bacteroides_stercoris	ESR	-0.135138979	0.250971298	 
250	Roseburia_inulinivorans	IL.6	-0.131172293	0.290025536	 
251	Subdoligranulum_sp	IL.6	-0.130110792	0.293980543	 
216	Parabacteroides_merdae	IL.17	-0.128890571	0.302346243	 
38	Bacteroides_stercoris	Age	-0.127772917	0.232765551	 
184	Bacteroides_uniformis	TNFa	-0.12343856	0.319645733	 
151	Subdoligranulum_sp	IL.1b	-0.123407145	0.319769861	 
222	Faecalibacterium_prausnitzii	IL.8	-0.122435949	0.323622434	 
64	Bacteroides_uniformis	IL.12p70	-0.121083929	0.329034638	 
356	Parabacteroides_merdae	Rank	-0.11801284	0.27070242	 
104	Bacteroides_uniformis	IL.4	-0.111904857	0.367280462	 
331	Subdoligranulum_sp	RF	-0.109940386	0.328544314	 
273	Eubacterium_rectale	CRP	-0.109128565	0.329089722	 
33	Eubacterium_rectale	Age	-0.106093283	0.322404302	 
182	Faecalibacterium_prausnitzii	TNFa	-0.106073909	0.392924039	 
111	Subdoligranulum_sp	IL.4	-0.104076627	0.401945624	 
330	Roseburia_inulinivorans	RF	-0.103014325	0.360109453	 
224	Bacteroides_uniformis	IL.8	-0.102246877	0.410316028	 
82	Faecalibacterium_prausnitzii	IL.10	-0.101803815	0.412357974	 
179	Vescimonas_butyriciproducens	IFNr	-0.101636964	0.413128467	 
309	Escherichia_coli	CCP	-0.101470265	0.352563087	 
284	Bacteroides_uniformis	ESR	-0.100699979	0.393282795	 
195	Anaerostipes_hadrus	TNFa	-0.099768811	0.421811998	 
172	Blautia_longum	IFNr	-0.098988361	0.425470405	 
358	Bacteroides_stercoris	Rank	-0.097892168	0.361425542	 
44	Bacteroides_uniformis	IL.13	-0.097801808	0.434661283	 
52	Blautia_longum	IL.13	-0.097668501	0.435290738	 
244	Bacteroides_uniformis	IL.6	-0.095861436	0.440308262	 
17	Bacteroides_ovatus	Gender	-0.093720371	0.38234583	 
95	Anaerostipes_hadrus	IL.10	-0.092143681	0.458320896	 
48	Fusicatenibacter_saccharivorans	IL.13	-0.089967323	0.472515775	 
264	Bacteroides_uniformis	CRP	-0.089091128	0.426058888	 
310	Roseburia_inulinivorans	CCP	-0.088361582	0.418500755	 
338	Bacteroides_stercoris	RF	-0.087658332	0.436473235	 
227	Eubacterium_eligens	IL.8	-0.086989772	0.483945624	 
